Time:49:948  g:-0.6999022
Time:49:969  g:-0.7155425
Time:49:990  g:-0.8523949
Time:50:11  g:-0.742913
Time:50:32  g:-0.7155425
Time:50:53  g:-0.6764418
Time:50:74  g:-0.6959922
Time:50:95  g:-0.7194526
Time:50:116  g:-0.7155425
Time:50:137  g:-0.7116324
Time:50:158  g:-0.7038123
Time:50:179  g:-0.7702835
Time:50:200  g:-0.6803519
Time:50:221  g:-0.7077224
Time:50:242  g:-0.7116324
Time:50:263  g:-0.7390029
Time:50:284  g:-0.7741935
Time:50:305  g:-0.6920821
Time:50:326  g:-0.7937439
Time:50:347  g:-0.7820137
Time:50:368  g:-0.7741935
Time:50:389  g:-0.7663734
Time:50:410  g:-0.6373411
Time:50:431  g:-0.6529814
Time:50:452  g:-0.6451613
Time:50:473  g:-0.4692082
Time:50:494  g:-0.340176
Time:50:515  g:-0.3479961
Time:50:536  g:-0.3245357
Time:50:557  g:-0.340176
Time:50:578  g:-0.3636364
Time:50:600  g:-0.3284457
Time:50:621  g:-0.516129
Time:50:642  g:-0.6529814
Time:50:663  g:-0.7937439
Time:50:684  g:-0.9853373
Time:50:705  g:-1.098729
Time:50:726  g:-1.356794
Time:50:747  g:-1.501466
Time:50:768  g:-1.69697
Time:50:789  g:-1.841642
Time:50:810  g:-1.931574
Time:50:831  g:-1.962854
Time:50:852  g:-1.970675
Time:50:873  g:-1.888563
Time:50:894  g:-1.677419
Time:50:915  g:-1.325513
Time:50:936  g:-0.9970675
Time:50:957  g:-0.6686217
Time:50:978  g:-0.3910068
Time:50:999  g:-0.1564027
Time:51:20  g:0.1876833
Time:51:41  g:0.5356794
Time:51:62  g:0.7546432
Time:51:83  g:0.7781036
Time:51:104  g:0.7272727
Time:51:125  g:0.629521
Time:51:146  g:0.57087
Time:51:167  g:0.4379277
Time:51:188  g:0.113392
Time:51:209  g:-0.1837732
Time:51:230  g:-0.4457478
Time:51:251  g:-0.7350929
Time:51:272  g:-1.11828
Time:51:293  g:-1.380254
Time:51:314  g:-1.575758
Time:51:335  g:-1.806452
Time:51:356  g:-1.915933
Time:51:377  g:-1.943304
Time:51:398  g:-1.947214
Time:51:419  g:-1.994135
Time:51:440  g:-1.982405
Time:51:461  g:-1.943304
Time:51:482  g:-1.923754
Time:51:504  g:-1.865103
Time:51:525  g:-1.767351
Time:51:546  g:-1.583578
Time:51:567  g:-1.294233
Time:51:588  g:-0.9188661
Time:51:609  g:-0.4965787
